#
# Lista de municipios de las 32 entidades federativas
# Fuente: Instituto Nacional de Estadística y Geografía (INEGI)
# Enlace: http://www.inegi.org.mx/geo/contenidos/geoestadistica/catalogoclaves.aspx
#

#
# Palabras y letras removidas: "de", "del", "el", "gran", "la", "las", "los", "san", "santa", "santo", "y"
#

#
Ideal				#Nuevo Ideal

#
# [11] Guanajuato
#

Abasolo				#Abasolo
Acámbaro			#Acámbaro
Allende				#San Miguel de Allende
Apaseo				#Apaseo el Alto
Alto				#Apaseo el Alto
Grande				#Apaseo el Grande
Atarjea				#Atarjea
Celaya				#Celaya
Manuel				#Manuel Doblado
Doblado				#Manuel Doblado
Comonfort			#Comonfort
Coroneo				#Coroneo
Cortazar			#Cortazar
Cuerámaro			#Cuerámaro
Doctor				#Doctor Mora
Mora				#Doctor Mora
Dolores				#Dolores Hidalgo Cuna de la Independencia Nacional
Cuna				#Dolores Hidalgo Cuna de la Independencia Nacional
Nacional			#Dolores Hidalgo Cuna de la Independencia Nacional
Guanajuato			#Guanajuato
Huanímaro			#Huanímaro
Irapuato			#Irapuato
Jaral				#Jaral del Progreso
Jerécuaro			#Jerécuaro
León				#León
Moroleón			#Moroleón
Ocampo				#Ocampo
Pénjamo				#Pénjamo
Pueblo				#Pueblo Nuevo
Purísima			#Purísima del Rincón
Rincón				#Purísima del Rincón
Romita				#Romita
Salamanca			#Salamanca
Salvatierra			#Salvatierra
Diego				#San Diego de la Unión
Felipe				#San Felipe
Rincón				#San Francisco del Rincón
Iturbide			#San José Iturbide
Paz				#San Luis de la Paz
Catarina			#Santa Catarina
Juventino			#Santa Cruz de Juventino Rosas
Rosas				#Santa Cruz de Juventino Rosas
Maravatío			#Santiago Maravatío
Silao				#Silao de la Victoria
Victoria			#Silao de la Victoria
Tarandacuao			#Tarandacuao
Tarimoro			#Tarimoro
Tierra				#Tierra Blanca
Blanca				#Tierra Blanca
Uriangato			#Uriangato
Valle				#Valle de Santiago
Victoria			#Victoria
Villagrán			#Villagrán
Xichú				#Xichú
Yuriria				#Yuriria

#
# [12] Guerrero
#

Acapulco			#Acapulco de Juárez
Ahuacuotzingo			#Ahuacuotzingo
Ajuchitlán			#Ajuchitlán del Progreso
Alcozauca			#Alcozauca de Guerrero
Alpoyeca			#Alpoyeca
Apaxtla				#Apaxtla
Arcelia				#Arcelia
Atenango			#Atenango del Río
Atlamajalcingo			#Atlamajalcingo del Monte
Monte				#Atlamajalcingo del Monte
Atlixtac			#Atlixtac
Atoyac				#Atoyac de Álvarez
Ayutla				#Ayutla de los Libres
Libres				#Ayutla de los Libres
Azoyú				#Azoyú
Benito				#Benito Juárez
Buenavista			#Buenavista de Cuéllar
Cuéllar				#Buenavista de Cuéllar
Coahuayutla			#Coahuayutla de José María Izazaga
Izazaga				#Coahuayutla de José María Izazaga
Cocula				#Cocula
Copala				#Copala
Copalillo			#Copalillo
Copanatoyac			#Copanatoyac
Coyuca				#Coyuca de Benítez
Benítez				#Coyuca de Benítez
Catalán				#Coyuca de Catalán
Cuajinicuilapa			#Cuajinicuilapa
Cualác				#Cualác
Cuautepec			#Cuautepec
Cuetzala			#Cuetzala del Progreso
Cutzamala			#Cutzamala de Pinzón
Pinzón				#Cutzamala de Pinzón
Chilapa				#Chilapa de Álvarez
Chilpancingo			#Chilpancingo de los Bravo
Florencio			#Florencio Villarreal
Villarreal			#Florencio Villarreal
Canuto				#General Canuto A. Neri
Neri				#General Canuto A. Neri
Heliodoro			#General Heliodoro Castillo
Castillo			#General Heliodoro Castillo
Huamuxtitlán			#Huamuxtitlán
Huitzuco			#Huitzuco de los Figueroa
Figueroa			#Huitzuco de los Figueroa
Iguala				#Iguala de la Independencia
Igualapa			#Igualapa
Ixcateopan			#Ixcateopan de Cuauhtémoc
Zihuatanejo			#Zihuatanejo de Azueta
Azueta				#Zihuatanejo de Azueta
Escudero			#Juan R. Escudero
